date,hexsha,author,insertions,deletions,lines,files,files_json
2020-08-07 17:12:41,994b89d28dc54c896e00eba66e247addb0540272,Bram Moolenaar,15,3,18,3,
2020-08-07 16:33:19,de6804d871def4d8973ef3ca3eece4155a5c3ab1,Bram Moolenaar,35,15,50,2,
2020-08-07 16:12:18,8ce4b7ed85a7c6499bea5eb1312c85ee7a00e364,Bram Moolenaar,44,1,45,4,
2020-08-07 14:49:11,9470a4d88acf948af1596101527b3a505f8c14e9,Bram Moolenaar,1187,1219,2406,4,
2020-08-06 20:11:06,8e1986e3896cc8c2a05fc6291a39ebb275e1cebf,Bram Moolenaar,33,1,34,3,
2020-08-06 19:47:11,56b8dc331dc7f499c8221ed7d1c7795ad5e3bdeb,Bram Moolenaar,51,1,52,4,
2020-08-06 19:26:59,3d945cc925dddb99a1ee86ec194b5b95221c72d7,Bram Moolenaar,18,1,19,3,
2020-08-06 14:38:12,ae95a3946b012d4e68bcb20b28f691f6d3b9caaf,Bram Moolenaar,25,1,26,3,
2020-08-06 09:23:36,bbd3e3c357487f7a5bdc704a819f63a7dd0dd66e,Bram Moolenaar,15,1,16,4,
2020-08-05 20:07:26,b8d732e93e4b70ad992a12f761bc6a1279dd495b,Bram Moolenaar,4,0,4,2,
2020-08-05 14:20:03,803af686e23c7bb17273bb0c78ff0bf97e8d23f4,Bram Moolenaar,34,2,36,3,
2020-08-05 13:43:44,c5da1fb7ea4126b6c70426cf0add51e720b7cd3f,Bram Moolenaar,5,3,8,3,
2020-08-05 13:11:03,a71e2633207557c31432c954194078cb6062d04f,Bram Moolenaar,25,6,31,3,
2020-08-05 12:34:14,f9b2b49663226235f94f08230fe9023caf80a6e9,Bram Moolenaar,68,36,104,5,
2020-08-05 10:44:41,fdac71c5075062f97f77044e9619fa5c907e0327,Bram Moolenaar,61,4,65,3,
2020-08-05 10:32:38,3c1c9fd94bc80871119a8519f3b881595082a6c0,Bram Moolenaar,64,0,64,3,
2020-08-05 10:10:50,c753478b82613df37b145764e27f5514542edb97,Bram Moolenaar,11,1,12,2,
2020-08-05 10:02:40,14ddd226daa324831e1872c352452f202fd6068c,Bram Moolenaar,3,1,4,2,
2020-08-05 09:51:30,ff1cd39cfe62d5089d5e703f4eb290694751ace3,Bram Moolenaar,53,5,58,3,
2020-08-05 09:36:52,b4caa163ff7bfacd4bec00e4baa55b5669ff1191,Bram Moolenaar,56,5,61,3,
2020-08-05 09:23:13,a6296200bd5191bab7efcdcc16c9e79eb498e8e0,Bram Moolenaar,1835,1752,3587,5,
2020-08-05 08:53:21,bb1b5e24ecc0abe1fee164e9de13796989eff784,Bram Moolenaar,80,26,106,7,
2020-08-04 19:46:18,282f9c64e570e832d3eba12950da15c9f1a40f06,Bram Moolenaar,4,2,6,2,
2020-08-04 19:04:57,e46a2ed0d8471b93a8b9edd98280d5de4a02c623,Bram Moolenaar,4,0,4,2,
2020-08-04 18:17:31,ecd34bf55d72f530859e290ac02ee41f9fb27cce,Bram Moolenaar,19,0,19,3,
2020-08-04 13:53:01,6a25026262e2cdbbd8738361c5bd6ebef8862d87,Bram Moolenaar,6,0,6,3,
2020-08-03 20:39:28,f96e9dec636d7d105b015680d8c5d6b47d936e01,Bram Moolenaar,4,1,5,3,
2020-08-02 18:40:43,83144546488b544a1fe4e2a4f8be954b98c696fc,Bram Moolenaar,24,3,27,3,
2020-08-02 18:03:25,434d72cbf2170d54cb4f8acbe995a9a55cceb92a,Bram Moolenaar,8,1,9,2,
2020-08-02 16:58:54,658217276fccb5e53cdf4ba0f023bca80e0a8fed,Bram Moolenaar,24,6,30,4,
2020-08-02 15:33:26,7226e5b19bd6e081043cbcc32541ef72bbdf667d,Bram Moolenaar,12,1,13,3,
2020-08-02 14:59:00,c2ee44cc382d4b097f51ea3251f00fb35493ea4f,Bram Moolenaar,36,48,84,4,
2020-08-02 14:10:39,aa970abd0a987de96321d33db82f70bbceac931b,Bram Moolenaar,780,932,1712,8,
2020-08-02 13:05:05,8b89614e69b9b2330539d0482e44f4724053e780,Bram Moolenaar,23,1,24,3,
2020-08-01 21:22:18,ad486a0f0dd194826fdb733516bf0f35382c9dd7,Bram Moolenaar,23,1,24,3,
2020-08-01 20:35:13,bcbf41395f93aabd577a17dc4fbabe523d0a7ce8,Bram Moolenaar,11,1,12,3,
2020-08-01 20:23:20,b9a2cac3ef293bfdfe80dea6c6d16d02b7af5435,Bram Moolenaar,15,0,15,2,
2020-08-01 20:16:43,eef2102e20d24f5fbd1c9f53c7a35df61585c5ab,Bram Moolenaar,66,10,76,5,
2020-08-01 19:11:38,e4218b9416bdcd78b9779a06258198573a0c369e,Bram Moolenaar,3,1,4,2,
2020-08-01 18:45:11,909443028b57d7514ce3c71f00e9d808f2126b4f,Bram Moolenaar,38,7,45,4,
2020-08-01 17:23:43,491799be5084dde7aa3367462f306e7b71dbc4a5,Bram Moolenaar,4,1,5,2,
2020-08-01 17:14:13,f8992d47cd50494c64bb733329067c9de3c75200,Bram Moolenaar,38,3,41,4,
2020-08-01 16:57:52,2c79e9d14dc0e61d8c357946d01107ec23ec0fe2,Bram Moolenaar,15,0,15,2,
2020-08-01 16:53:07,333894b195479c9304a19f4e6ec1a9c09ecf07e4,Bram Moolenaar,32,9,41,3,
2020-08-01 15:00:03,f5a48010ef9e47319185f1aaac1bc6d45cd4d47a,Bram Moolenaar,22,11,33,6,
2020-08-01 14:35:08,2ec208172c37b06a6177e32359214e5e02bfbed5,Bram Moolenaar,3,0,3,2,
2020-08-01 14:08:19,b86abadf87bd0f85f800077171ec4b98aefff776,Bram Moolenaar,57,45,102,7,
2020-08-01 13:53:19,2caa1594e72be7a876c21ed5c2df252d3537cfa7,Bram Moolenaar,41,5,46,3,
2020-08-01 13:38:38,8e4c8c853e3ffbd9258f89180692879ec6bce72b,Bram Moolenaar,57,21,78,4,
2020-08-01 12:06:38,586268721dd5d6e50903a8a457f02e0dda901856,Bram Moolenaar,8,13,21,3,
2020-08-01 11:22:10,af50e899e70ee34d5356846afbea7d75701cb22b,Bram Moolenaar,6,1,7,2,
2020-08-01 11:10:14,4e1d8bd79b87b120bd40afe0eba54a419f8c3aee,Bram Moolenaar,52,15,67,6,
2020-08-01 10:26:04,b53da7918c643ef4de1256c37bc8b92413e6dcec,Bram Moolenaar,9,3,12,2,
2020-07-31 22:03:09,af8edbb8dc551aaf2105a4d77b3d8495da239ef0,Bram Moolenaar,21,18,39,3,
2020-07-31 21:47:12,ce6583568ff5b3e0e6438b37ede2c80bedffba10,Bram Moolenaar,49,25,74,5,
2020-07-31 20:38:17,badd8486f7442bfcf55e0234ece80488958e7114,Bram Moolenaar,11,1,12,3,
2020-07-31 20:17:32,3a53ec8bdddccf06a0e9db263277c50a6015294d,Bram Moolenaar,25,10,35,2,
2020-07-31 20:05:04,38ddf333f6b2806b0ea2dd052ee1cd50dd7f4525,Bram Moolenaar,237,12,249,11,
2020-07-30 20:14:33,4d4d1cd5c8b61ef0296bd6190ca2a0b2d6d96ba7,Bram Moolenaar,17,2,19,4,
2020-07-30 18:18:08,f4ee528086dcff2b8744544c440853f177956261,Bram Moolenaar,12,4,16,3,
2020-07-30 18:08:50,9d489566815d7913afc5dfc2a772bacede3970fb,Bram Moolenaar,62,37,99,11,
2020-07-29 20:11:05,ea2d8d25718836bf627b67b7fcd28a1e528bb7b9,Bram Moolenaar,23,3,26,4,
